Year,Base,Headwinds,HighEff,Liftoff
2020,122.25426511799999,0.0,0.0,0.0
2023,153.108228998,0.0,0.0,0.0
2024,176.43496748799998,0.0,0.0,0.0
2030,401.219902028,283.737964542,335.90503425599996,536.090862752
2035,505.978163974,299.854620226,412.247087496,729.066608442
